Partner Name,Export,Export Share in Total Products,Export Partner Share (%)
 World,15693182975,15693182975,100
United States,2061913552,2042119182,13.14
China,1349258005,1319574329,8.6
Germany,1046326850,1026028109,6.67
United Kingdom,607564400.7,594197983.9,3.87
France,586399743.5,575258148.4,3.74
"Hong Kong, China",559859351.3,538024836.6,3.57
Netherlands,533266574.8,519135010.6,3.4
Japan,468605995.3,456000494,2.99
Italy,421761213.8,412566819.3,2.69
Canada,411439335.2,400207041.3,2.62
Mexico,376516745.3,359799401.8,2.4
"Korea, Rep.",365406373,353640287.8,2.33
Belgium,345469397.7,336176270.9,2.2
Spain,308602350,300887291.2,1.97
India,307760155.7,293972500.7,1.96
Switzerland,248554707.1,240551245.5,1.58
Singapore,244132221.5,231827957.5,1.56
Poland,232387856.6,225880996.6,1.48
Unspecified,213919511.5,195308514,1.36
"Other Asia, nes",212801047.3,203139879.8,1.36
Vietnam,212427522.8,202910769.8,1.35
Russian Federation,206611126.4,199255770.3,1.32
United Arab Emirates,192996499.6,184794148.4,1.23
Australia,186873332.7,180258016.7,1.19
Turkey,184627918.9,177058174.2,1.18
Thailand,173863196.8,167847530.2,1.11
Malaysia,167156720.6,160871627.9,1.07
Austria,156793670.7,152011463.7,1
Brazil,156619974.7,146658944.3,1
Czech Republic,144516426.8,139761836.3,0.92
Sweden,138131131.2,133089344.9,0.88
Indonesia,134743065.1,128558358.4,0.86
Saudi Arabia,107742895.2,100847349.9,0.69
Hungary,99160736.93,95709943.28,0.63
Philippines,98465483.16,91759983.76,0.63
Denmark,90833618.73,87345607.77,0.58
Romania,81966542.3,79237056.44,0.52
Norway,76741272.8,72727704.23,0.49
Ireland,73900418.05,70648799.66,0.47
Portugal,73345313.33,70983594.24,0.47
South Africa,72225901.57,69112965.21,0.46
Slovak Republic,69518437.13,66668181.21,0.44
Finland,66564479.25,63735488.88,0.42
Israel,65227273.38,61052727.88,0.42
Argentina,59404929.82,53589187.19,0.38
Chile,58662767.86,54368653.25,0.37
"Egypt, Arab Rep.",58140587.65,52669558.35,0.37
"Iran, Islamic Rep.",50882021.53,45137441.3,0.32
Greece,48999661.18,47073974.5,0.31
Ukraine,47168522.31,44239357.07,0.3
Bangladesh,45196993.91,40058095.7,0.29
Pakistan,44114906.8,39324027.92,0.28
Colombia,41846579.09,38356574.39,0.27
Algeria,41126691.72,34924786.61,0.26
Morocco,38343372.09,34980658.36,0.24
Panama,36365435.79,30466962.1,0.23
Nigeria,35858912.11,30978514.17,0.23
Slovenia,35534418.6,33857194.04,0.23
Peru,34552433.23,31007353.58,0.22
Kazakhstan,33659979.71,30738293.47,0.21
Bulgaria,32870291.23,31578488.78,0.21
New Zealand,31381304.39,29084192.91,0.2
Iraq,30458995.67,25220048.41,0.19
Special Categories,28266897.71,9672932.396,0.18
Lithuania,27546771.89,26342977.96,0.18
Bunkers,26575704.14,16867599.42,0.17
Belarus,25900743.07,23906385.85,0.17
Qatar,24836995.37,21757207.94,0.16
Croatia,23805679.06,22613014.54,0.15
Kuwait,23447566.5,20230560.38,0.15
Luxembourg,23267322.36,21896877.07,0.15
Latvia,20837654.44,19739510.05,0.13
"Serbia, FR(Serbia/Montenegro)",20744063.42,19138472.91,0.13
Oman,20129986.78,16796460.97,0.13
Tunisia,19084068.99,16702377.18,0.12
Estonia,18504060.04,17536297.7,0.12
Myanmar,17584018.41,14466371.95,0.11
Ecuador,17390412.82,15101834.49,0.11
Sri Lanka,17064852.09,15269629.65,0.11
Lebanon,17024890.47,15015953.39,0.11
Marshall Islands,15988840.98,6075759.572,0.1
Malta,15885646.03,14698988.27,0.1
Dominican Republic,15296303.88,13151762.08,0.1
Guatemala,15125563.8,12964120.73,0.1
Jordan,14989457.06,12935901.44,0.1
Kenya,14971138.03,12852722,0.1
Ghana,13043550.53,10867886.3,0.08
Costa Rica,12754740.36,10958872.92,0.08
Cambodia,12140518.03,9402831.214,0.08
Uzbekistan,11510915.11,9263984.481,0.07
Angola,11202135.62,9454602.463,0.07
Cyprus,11176306.82,10458787.92,0.07
Uruguay,10984209.29,9313511.057,0.07
Macao,10795586.36,7524523.693,0.07
Paraguay,10458837.23,8588797.133,0.07
Venezuela,9927090.75,7733203.694,0.06
Togo,9196021.96,6119952.614,0.06
"Bahamas, The",9086629.1,5963554.678,0.06
Honduras,9041035.57,7125240.133,0.06
Gibraltar,8940358.69,5788882.252,0.06
Ethiopia(excludes Eritrea),8844267.08,6710145.434,0.06
Senegal,8698011.87,6840116.535,0.06
Bosnia and Herzegovina,8458432.63,7418891.26,0.05
Tanzania,8434675.48,6728340.63,0.05
Cote d'Ivoire,8378501.25,6678503.346,0.05
Kyrgyz Republic,8306890.69,6201093.9,0.05
Liberia,8256683.45,4868966.23,0.05
Libya,8236655.49,5558095.125,0.05
Georgia,7764709.08,6538661.516,0.05
Bahrain,7716254.89,6265598.971,0.05
Nepal,7627251.63,6419857.697,0.05
Mozambique,7461064.84,6241926.845,0.05
"Macedonia, FYR",7457290.53,6233549.154,0.05
Azerbaijan,7347595.2,6108790.649,0.05
Bolivia,7305797.71,5955686.293,0.05
El Salvador,6624291.76,5240477.211,0.04
Sudan,6580162.92,4920645.832,0.04
Cuba,6401467.9,4739006.686,0.04
Iceland,6340387.71,5213700.814,0.04
Yemen,6185236.77,3869484.123,0.04
Botswana,5819184.99,4927685.85,0.04
Namibia,5450885.32,4762438.504,0.03
Trinidad and Tobago,5411977.55,4065477.536,0.03
Afghanistan,5361910.28,3409102.556,0.03
Cameroon,5045714.42,3766625.815,0.03
Free Zones,4923119.95,3120765.736,0.03
Albania,4921342.19,4046819.683,0.03
Nicaragua,4920994.91,3554926.723,0.03
"Congo, Dem. Rep.",4781593.81,3832925.598,0.03
Moldova,4622210.54,3842905.843,0.03
Benin,4480496,2787316.562,0.03
Syrian Arab Republic,4448474.06,3282973.856,0.03
Jamaica,4370286.74,3184190.919,0.03
Mauritius,4313925.87,3609893.168,0.03
Zambia,4303312.71,3566155.243,0.03
Cayman Islands,4246839.36,2190095.058,0.03
Mongolia,4016482.06,2786635.253,0.03
Djibouti,3986329.13,2633369.023,0.03
Haiti,3913483.79,2600118.63,0.02
Papua New Guinea,3879893.38,2786539.426,0.02
Guinea,3704452.3,2522732.016,0.02
Turkmenistan,3671926.91,2618818.272,0.02
"Korea, Dem. Rep.",3434716.03,2286490.461,0.02
Zimbabwe,3416208.76,2792409.04,0.02
Uganda,3400887.87,2598958.51,0.02
Madagascar,3144376.15,2310487.595,0.02
Tajikistan,3057328.26,1914498.956,0.02
Mali,2842570.22,1914755.3,0.02
Mauritania,2653034.68,1691840.215,0.02
Brunei,2652580.9,1902696.28,0.02
Montenegro,2626910.24,2065802.213,0.02
Armenia,2496317.37,1884469.983,0.02
Burkina Faso,2354841.68,1440927.624,0.01
"Congo, Rep.",2294929.64,1591763.198,0.01
Somalia,2263165.98,1225504.378,0.01
New Caledonia,2135164.08,1515966.497,0.01
Gabon,2103259.05,1433371.043,0.01
Bermuda,2097755.64,1103209.691,0.01
